DATE,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total_Trips,OnTime_Pct,Late_Pct,Day_of_Week,Week_Number
2023-08-01,5028,215,953,6196,81.14912846998064,15.380890897353131,Tuesday,31
2023-08-02,5162,241,977,6380,80.9090909090909,15.313479623824453,Wednesday,31
2023-08-03,4949,216,1210,6375,77.6313725490196,18.980392156862745,Thursday,31
2023-08-04,4377,263,1275,5915,73.99830938292476,21.55536770921386,Friday,31
2023-08-05,3136,131,802,4069,77.07053330056524,19.71000245760629,Saturday,31
2023-08-06,3035,130,409,3574,84.9188584219362,11.443760492445438,Sunday,31
2023-08-07,5288,234,794,6316,83.7238758708043,12.571247625079163,Monday,32
2023-08-08,5019,225,1145,6389,78.55689466270151,17.921427453435594,Tuesday,32
2023-08-09,4760,183,1361,6304,75.50761421319797,21.589467005076145,Wednesday,32
2023-08-10,4691,182,1223,6096,76.9520997375328,20.06233595800525,Thursday,32
2023-08-11,4886,197,1297,6380,76.58307210031347,20.329153605015673,Friday,32
2023-08-12,3324,121,630,4075,81.57055214723925,15.460122699386503,Saturday,32
2023-08-13,3129,130,368,3627,86.26964433416046,10.146126275158533,Sunday,32
2023-08-14,5374,252,786,6412,83.81160324391766,12.258265751715532,Monday,33
2023-08-15,5155,173,1059,6387,80.71081885079067,16.580554250821983,Tuesday,33
2023-08-16,4886,215,1158,6259,78.06358843265697,18.50135804441604,Wednesday,33
2023-08-17,4886,203,1215,6304,77.50634517766497,19.273477157360404,Thursday,33
2023-08-18,4611,184,1483,6278,73.44695762981841,23.622172666454286,Friday,33
2023-08-19,3261,82,749,4092,79.69208211143695,18.304007820136853,Saturday,33
2023-08-20,3185,96,375,3656,87.11706783369803,10.25711159737418,Sunday,33
2023-08-21,5261,204,891,6356,82.77218376337319,14.018250471994964,Monday,34
2023-08-22,5057,229,1016,6302,80.24436686766107,16.12186607426214,Tuesday,34
2023-08-23,5147,226,923,6296,81.75031766200762,14.660101651842439,Wednesday,34
2023-08-24,5134,181,1031,6346,80.9013551843681,16.24645445950205,Thursday,34
2023-08-25,4577,157,1388,6122,74.76314929761516,22.67232930414897,Friday,34
2023-08-26,3369,105,644,4118,81.81155900922778,15.638659543467703,Saturday,34
2023-08-27,3178,95,333,3606,88.13089295618414,9.234608985024959,Sunday,34
2023-08-28,5374,228,714,6316,85.08549715009501,11.30462317922736,Monday,35
2023-08-29,5113,155,1022,6290,81.28775834658187,16.248012718600954,Tuesday,35
2023-08-30,5140,148,1072,6360,80.81761006289308,16.855345911949684,Wednesday,35
2023-08-31,4760,144,1297,6201,76.76181261086921,20.915981293339783,Thursday,35
2023-09-01,4733,198,1242,6173,76.67260651223067,20.119876883201037,Friday,35
2023-09-02,2816,64,1080,3960,71.11111111111111,27.27272727272727,Saturday,35
2023-09-03,3097,117,397,3611,85.76571586818056,10.994184436444199,Sunday,35
2023-09-04,3143,139,316,3598,87.35408560311284,8.782657031684268,Monday,36
2023-09-05,5244,166,886,6296,83.29097839898348,14.072426937738246,Tuesday,36
2023-09-06,5021,171,1153,6345,79.1331757289204,18.171788810086685,Wednesday,36
2023-09-07,5103,171,1004,6278,81.2838483593501,15.992354252946797,Thursday,36
2023-09-08,5139,176,1105,6420,80.04672897196262,17.21183800623053,Friday,36
2023-09-09,3307,81,671,4059,81.47326927814733,16.53116531165312,Saturday,36
2023-09-10,2963,92,325,3380,87.66272189349112,9.615384615384617,Sunday,36
2023-09-11,5277,179,869,6325,83.43083003952569,13.73913043478261,Monday,37
2023-09-12,4938,148,1280,6366,77.56833176248821,20.106817467797676,Tuesday,37
2023-09-13,4902,154,1274,6330,77.44075829383887,20.12638230647709,Wednesday,37
2023-09-14,4846,158,1242,6246,77.58565481908421,19.88472622478386,Thursday,37
2023-09-15,4469,110,1640,6219,71.86042772149864,26.37079916385271,Friday,37
2023-09-16,3428,97,536,4061,84.41270622999262,13.198719527210045,Saturday,37
2023-09-17,2582,86,725,3393,76.09784851164162,21.367521367521366,Sunday,37
2023-09-18,5203,235,845,6283,82.81075919146905,13.448989336304312,Monday,38
2023-09-19,4894,222,1096,6212,78.783000643915,17.643271088216355,Tuesday,38
2023-09-20,4885,162,1287,6334,77.1234606883486,20.318913798547523,Wednesday,38
2023-09-21,4645,138,1318,6101,76.13505982625799,21.603015899032947,Thursday,38
2023-09-22,4604,138,1459,6201,74.24608934042897,23.52846315110466,Friday,38
2023-09-23,3022,62,972,4056,74.5069033530572,23.964497041420117,Saturday,38
2023-09-24,3084,101,414,3599,85.69046957488192,11.503195332036677,Sunday,38
2023-09-25,5399,194,790,6383,84.58405138649537,12.376625411248629,Monday,39
2023-09-26,5054,152,1130,6336,79.76641414141415,17.83459595959596,Tuesday,39
2023-09-27,5106,135,1092,6333,80.62529606821411,17.24301279014685,Wednesday,39
2023-09-28,5016,177,1127,6320,79.36708860759494,17.832278481012658,Thursday,39
2023-09-29,4577,129,1500,6206,73.75120850789558,24.170157911698357,Friday,39
2023-09-30,3299,78,663,4040,81.65841584158416,16.41089108910891,Saturday,39
